division,district,landarea
Barisal,Barguna,1831
Barisal,Barisal,2785
Barisal,Bhola,3403
Barisal,Jhalokati,707
Barisal,Patuakhali,3221
Barisal,Pirojpur,1278
Chittagong,Bandarban,4479
Chittagong,Brahmanbaria,1881
Chittagong,Chandpur,1645
Chittagong,Chittagong,5283
Chittagong,Comilla,3146
Chittagong,Cox bazar,2492
Chittagong,Feni,990
Chittagong,Khagrachhari,2749
Chittagong,Lakshmipur,1440
Chittagong,Noakhali,3686
Chittagong,Rangamati,6116
Dhaka,Dhaka,1464
Dhaka,Faridpur,2053
Dhaka,Gazipur,1806
Dhaka,Gopalganj,1469
Dhaka,Kishoreganj,2689
Dhaka,Madaripur,1125
Dhaka,Manikganj,1384
Dhaka,Munsiganj,1004
Dhaka,Narayanganj,684
Dhaka,Narsingdi,1150
Dhaka,Rajbari,1092
Dhaka,Shariatpur,1174
Dhaka,Tangail,3414
Khulna,Bagerhat,3959
Khulna,Chuadanga,1174
Khulna,Jessore,2607
Khulna,Jhenaidah,1965
Khulna,Khulna,4394
Khulna,Kushtia,1609
Khulna,Magura,1039
Khulna,Meherpur,742
Khulna,Narail,968
Khulna,Satkhira,3817
Mymensingh,Jamalpur,2115
Mymensingh,Mymensingh,4395
Mymensingh,Netrokona,2794
Mymensingh,Sherpur,1365
Rajshahi,Bogra,2899
Rajshahi,Chapainawabganj,1012
Rajshahi,Joypurhat,3436
Rajshahi,Naogaon,1900
Rajshahi,Natore,1703
Rajshahi,Pabna,2376
Rajshahi,Rajshahi,2425
Rajshahi,Sirajganj,2402
Rangpur,Dinajpur,3444
Rangpur,Gaibandha,2115
Rangpur,Kurigram,2245
Rangpur,Lalmonirhat,1247
Rangpur,Nilphamari,1547
Rangpur,Panchagarh,1405
Rangpur,Rangpur,2401
Rangpur,Thakurgaon,1781
Sylhet,Habiganj,2637
Sylhet,Moulvibazar,2799
Sylhet,Sunamganj,3747
Sylhet,Sylhet,3452
