panelid,site,id95,id97,id99,id02,year,rainy,tindex,iindex,pdsf,pdsp,strf,strp,hhsize,hhsize2,workers,tractor,ntract,carabao,ncarab,educhoh,agehoh,parcel,crop,rice,area,irrig,irrig2,dist_can,silt_pbm,days_clr,irrdry,farmsize,pctown,tenure,own_all,rent_all,rent,share,lf_p_ha,ls_p_ha,lu_p_ha,ll_p_ha,lh_p_ha,lt_p_ha,lf_f_ha,ls_f_ha,lu_f_ha,ll_f_ha,lh_f_ha,lt_f_ha,lf_h_ha,ls_h_ha,lu_h_ha,ll_h_ha,lh_h_ha,lt_h_ha,q_urea,q_comp,q_1620,foliar,qfoliar,tracdays,tracrate,q_fert,q_seed,tc_fert,tc_herb,tc_inse,tc_moll,tc_pest,q_harv,lny,lnl,lnf,lnp,lnllnl,lnflnf,lnplnp,lnllnf,lnllnp,lnflnp,yield,q_ure_ha,q_com_ha,q_162_ha,q_f_ha,q_s_ha,tc_f_h,tc_h_ha,tc_i_ha,tc_m_ha,tc_p_h,inc_live,inc_poul,inc_frui,inc_bus,inc_wage,inc_rice,inc_corn,inc_tot,gv_rice,gv_corn,ck_rice,ck_corn,cl_rice,cl_corn,lf_atot,ls_atot,lu_atot,ll_atot,lh_atot,lt_atot,pa_atot,inc_atot,hiredup,wage_u,wage_l,wage,p_fert,lt_pa,lh_pa,lu_pa,_est_r1
240,2,211,240,TL08,TL057,1995,1,1,240,10,7,108,154,3,9,2,0,0,1,2,13,44,1,1,1,1,0,0,0,0,0,0,6,1,1,1,0,0,0,4,0,0,0,0,4,10,0,0,0,0,10,2,0,0,0,0,2,75,75,0,,,,,150,0,1065,540,390,0,930,4500,8.4119997,2.8329999,5.0170002,6.836,4.0139999,12.587,23.367001,14.215,19.368999,34.299,4500,75,75,0,150,0,1065,540,390,0,930,0,0,7000,0,0,16005,0,23005,18000,0,1995,0,0,0,40,0,80,40,120,160,6.25,147330,0,,35,35,7.0999999,2.5999999,0,0,1
240,2,211,240,TL08,TL057,1997,1,3,240,10,7,108,154,3,9,1,0,0,1,3,13,46,1,1,1,2.5,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,4,1.2,5.1999998,5.1999998,0,0,53.200001,0,53.200001,53.200001,2.8,0,20,0,20,22.799999,200,200,0,,,,,400,36,3360,0,0,0,0,11200,8.408,4.4089999,5.0809999,0,9.7200003,12.91,0,22.405001,0,0,4480,80,80,0,160,14,1344,0,0,0,0,10000,0,3600,0,0,35099,0,48699,56000,0,6360,0,14541,0,14,0,386,6,392,406,5.5,83798,1,40,,40,8.3999996,36.900002,35.599998,35.099998,1
240,2,211,240,TL08,TL057,1997,0,4,240,10,7,108,154,3,9,1,0,0,1,3,13,46,1,1,1,3,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,3.3299999,1,4.3299999,4.3299999,0,0,44.330002,0,44.330002,44.330002,2.3299999,0,16.67,0,16.67,19,200,200,0,,,,,400,36,3360,0,0,0,0,7000,7.7550001,4.2290001,4.9000001,0,8.9429998,12.007,0,20.725,0,0,2333,67,67,0,133,12,1120,0,0,0,0,10000,0,3600,0,0,35099,0,48699,56000,0,6360,0,14541,0,14,0,386,6,392,406,5.5,83798,1,40,,40,8.3999996,36.900002,35.599998,35.099998,1
240,2,211,240,TL08,TL057,1999,1,5,240,10,7,108,154,4,16,1,0,0,1,3,13,49,1,1,1,1.5,1,1,2,0,0,0,1.5,1,1,1,0,0,0,0,40,16,0,16,56,8.6700001,0,0,0,0,8.6700001,0,0,9.3299999,.33000001,9.6700001,9.6700001,0,0,100,,,,,100,0,860,290,995,0,1285,3120,7.8639998,4.322,4.4349999,6.9770002,9.3400002,9.8339996,24.34,19.167,30.155001,30.941999,2600,0,0,83,83,0,717,242,829,0,1071,70000,0,16800,0,0,14575,0,101375,23400,0,2145,0,6680,0,26,120,76,1,150,223,2.7,44230,1,83,,83,8.6000004,41.299999,14.3,14.1,1
240,2,211,240,TL08,TL057,1999,0,6,240,10,7,108,154,4,16,1,0,0,1,3,13,49,1,1,1,1.2,1,1,2,1,1,1,1.5,1,1,1,0,0,0,0,50,20,0,20,70,10.83,0,0,0,0,10.83,0,0,11.67,.41999999,12.08,12.08,0,0,100,,,,,100,192,860,290,945,0,1235,4500,8.4119997,4.5419998,4.2150002,6.7150002,10.317,8.8809996,22.542999,19.143999,30.5,28.299,4500,0,0,67,67,128,573,193,630,0,823,70000,0,16800,0,0,29655,0,116455,33750,0,2095,0,2000,0,26,120,76,1,150,223,2.7,44230,1,83,100,83,8.6000004,41.299999,14.3,14.1,1
240,2,211,240,TL08,TL057,2002,1,7,240,10,7,108,154,4,16,2,0,0,1,3,13,52,1,1,1,2,1,1,1,0,0,0,6,1,1,1,0,0,0,3,0,16,1.5,17.5,20.5,5,0,0,0,0,5,4,.5,14,4.5,18.5,23,175,175,0,0,0,0,0,350,200,1715,470,1670,0,2140,4500,7.7189999,3.902,5.1700001,6.9759998,7.6129999,13.367,24.334999,20.174999,27.222,36.070999,2250,88,88,0,175,100,858,235,835,0,1070,3200,0,5000,0,0,15185,0,23385,29160,0,3855,0,10120,0,44,1,120,21,141,186,4,33612,1,76,312,111,9.8999996,24.299999,18,15,1
240,2,211,240,TL08,TL057,2002,0,8,240,10,7,108,154,4,16,2,0,0,1,3,13,52,1,1,1,2,1,1,1,0,0,1,6,1,1,1,0,0,0,3,0,16,1.5,17.5,20.5,3.5,0,0,0,0,3.5,3.5,0,14,3,17,20.5,175,175,0,0,0,0,0,350,200,3377.5,500,1625,0,2125,2500,7.132,3.8180001,5.1700001,6.9689999,7.2870002,13.367,24.285999,19.739,26.607,36.035,1250,88,88,0,175,100,1689,250,813,0,1063,3200,0,5000,0,0,10228,0,18428,21250,0,5503,0,5520,0,44,1,120,21,141,186,4,33612,1,76,312,111,9.8999996,22.299999,17.299999,15,1
245,2,212,245,TL12,TL040,1995,1,1,245,11,7,113,164,4,16,2,0,0,1,2,6,39,1,1,1,1,0,0,0,0,0,0,6,1,1,0,0,0,0,5,0,0,0,0,5,10,0,0,0,0,10,10,0,0,0,0,10,150,0,0,,,,,150,0,1080,0,0,0,0,2400,7.7839999,3.2579999,5.0170002,0,5.3080001,12.587,0,16.347,0,0,2400,150,0,0,150,0,1080,0,0,0,0,0,0,3520,0,0,10920,0,14440,12000,0,1080,0,0,0,35,0,222,0,222,257,11,118785,0,,,,7.1999998,2.3,0,0,1
245,2,212,245,TL12,TL040,1997,1,3,245,11,7,113,164,4,16,1,0,0,1,3,6,41,1,1,1,3,0,0,200,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,28,0,28,28,4.6700001,0,0,21,21,25.67,450,450,0,,,,,900,54,7380,0,0,0,0,11782,8.276,4.0190001,5.7069998,0,8.0780001,16.285999,0,22.938999,0,0,3927,150,150,0,300,18,2460,0,0,0,0,6000,0,0,0,15600,37909,0,59509,64800,0,11880,0,15011,0,22,0,158,101,259,281,6,97418,1,40,105,69,8.1999998,27.299999,25,14,1
245,2,212,245,TL12,TL040,1997,0,4,245,11,7,113,164,4,16,1,0,0,1,3,6,41,1,1,1,3,0,0,200,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.67,0,24.67,24.67,2.6700001,0,0,11.67,11.67,14.33,450,450,0,,,,,900,54,7380,0,0,0,0,5236,7.4650002,3.6889999,5.7069998,0,6.8039999,16.285999,0,21.052999,0,0,1745,150,150,0,300,18,2460,0,0,0,0,6000,0,0,0,15600,37909,0,59509,64800,0,11880,0,15011,0,22,0,158,101,259,281,6,97418,1,45,90,59,8.1999998,19.5,18.200001,12.3,1
